tmax,pay_rate,born_ai_mult,ratio,y0,y1,gap,verdict
20,0.000,0.000,0.000,39.934,62.085,-22.151,REFUTE
20,0.000,0.556,0.000,39.934,40.794,-0.860,REFUTE
20,0.000,1.111,0.000,39.934,23.576,16.358,CONFIRM
20,0.000,1.667,0.000,39.934,9.508,30.426,CONFIRM
20,0.000,2.222,0.000,39.934,-1.402,41.336,CONFIRM
20,0.000,2.778,0.000,39.934,-9.797,49.731,CONFIRM
20,0.000,3.333,0.000,39.934,-16.564,56.498,CONFIRM
20,0.000,3.889,0.000,39.934,-22.078,62.012,CONFIRM
20,0.000,4.444,0.000,39.934,-26.699,66.633,CONFIRM
20,0.000,5.000,0.000,39.934,-30.789,70.723,CONFIRM
20,0.111,0.000,0.370,50.705,84.091,-33.386,REFUTE
20,0.111,0.556,0.238,50.705,70.183,-19.478,REFUTE
20,0.111,1.111,0.175,50.705,58.401,-7.696,REFUTE
20,0.111,1.667,0.139,50.705,48.282,2.423,CONFIRM
20,0.111,2.222,0.115,50.705,39.486,11.219,CONFIRM
20,0.111,2.778,0.098,50.705,31.763,18.942,CONFIRM
20,0.111,3.333,0.085,50.705,24.919,25.785,CONFIRM
20,0.111,3.889,0.076,50.705,18.809,31.896,CONFIRM
20,0.111,4.444,0.068,50.705,13.314,37.391,CONFIRM
20,0.111,5.000,0.062,50.705,8.342,42.363,CONFIRM
20,0.222,0.000,0.741,55.460,94.628,-39.168,REFUTE
20,0.222,0.556,0.476,55.460,84.626,-29.166,REFUTE
20,0.222,1.111,0.351,55.460,75.858,-20.398,REFUTE
20,0.222,1.667,0.278,55.460,68.098,-12.639,REFUTE
20,0.222,2.222,0.230,55.460,61.175,-5.715,REFUTE
20,0.222,2.778,0.196,55.460,54.952,0.508,CONFIRM
20,0.222,3.333,0.171,55.460,49.322,6.138,CONFIRM
20,0.222,3.889,0.152,55.460,44.199,11.261,CONFIRM
20,0.222,4.444,0.136,55.460,39.513,15.947,CONFIRM
20,0.222,5.000,0.123,55.460,35.206,20.254,CONFIRM
20,0.333,0.000,1.111,57.856,100.275,-42.420,REFUTE
20,0.333,0.556,0.714,57.856,92.519,-34.663,REFUTE
20,0.333,1.111,0.526,57.856,85.554,-27.698,REFUTE
20,0.333,1.667,0.417,57.856,79.257,-21.401,REFUTE
20,0.333,2.222,0.345,57.856,73.529,-15.673,REFUTE
20,0.333,2.778,0.294,57.856,68.292,-10.436,REFUTE
20,0.333,3.333,0.256,57.856,63.479,-5.623,REFUTE
20,0.333,3.889,0.227,57.856,59.036,-1.180,REFUTE
20,0.333,4.444,0.204,57.856,54.919,2.937,CONFIRM
20,0.333,5.000,0.185,57.856,51.090,6.766,CONFIRM
20,0.444,0.000,1.481,59.233,103.673,-44.440,REFUTE
20,0.444,0.556,0.952,59.233,97.341,-38.108,REFUTE
20,0.444,1.111,0.702,59.233,91.558,-32.325,REFUTE
20,0.444,1.667,0.556,59.233,86.249,-27.016,REFUTE
20,0.444,2.222,0.460,59.233,81.353,-22.121,REFUTE
20,0.444,2.778,0.392,59.233,76.820,-17.587,REFUTE
20,0.444,3.333,0.342,59.233,72.606,-13.373,REFUTE
20,0.444,3.889,0.303,59.233,68.675,-9.443,REFUTE
20,0.444,4.444,0.272,59.233,64.998,-5.765,REFUTE
20,0.444,5.000,0.247,59.233,61.547,-2.314,REFUTE
20,0.556,0.000,1.852,60.113,105.916,-45.804,REFUTE
20,0.556,0.556,1.190,60.113,100.565,-40.452,REFUTE
20,0.556,1.111,0.877,60.113,95.615,-35.503,REFUTE
20,0.556,1.667,0.694,60.113,91.021,-30.908,REFUTE
20,0.556,2.222,0.575,60.113,86.740,-26.627,REFUTE
20,0.556,2.778,0.490,60.113,82.738,-22.626,REFUTE
20,0.556,3.333,0.427,60.113,78.986,-18.874,REFUTE
20,0.556,3.889,0.379,60.113,75.459,-15.347,REFUTE
20,0.556,4.444,0.340,60.113,72.135,-12.022,REFUTE
20,0.556,5.000,0.309,60.113,68.993,-8.881,REFUTE
20,0.667,0.000,2.222,60.720,107.503,-46.783,REFUTE
20,0.667,0.556,1.429,60.720,102.867,-42.147,REFUTE
20,0.667,1.111,1.053,60.720,98.539,-37.819,REFUTE
20,0.667,1.667,0.833,60.720,94.485,-33.765,REFUTE
20,0.667,2.222,0.690,60.720,90.679,-29.959,REFUTE
20,0.667,2.778,0.588,60.720,87.095,-26.375,REFUTE
20,0.667,3.333,0.513,60.720,83.712,-22.992,REFUTE
20,0.667,3.889,0.455,60.720,80.512,-19.792,REFUTE
20,0.667,4.444,0.408,60.720,77.478,-16.757,REFUTE
20,0.667,5.000,0.370,60.720,74.596,-13.875,REFUTE
20,0.778,0.000,2.593,61.164,108.685,-47.521,REFUTE
20,0.778,0.556,1.667,61.164,104.594,-43.430,REFUTE
20,0.778,1.111,1.228,61.164,100.746,-39.582,REFUTE
20,0.778,1.667,0.972,61.164,97.118,-35.954,REFUTE
20,0.778,2.222,0.805,61.164,93.690,-32.526,REFUTE
20,0.778,2.778,0.686,61.164,90.443,-29.279,REFUTE
20,0.778,3.333,0.598,61.164,87.362,-26.198,REFUTE
20,0.778,3.889,0.530,61.164,84.432,-23.268,REFUTE
20,0.778,4.444,0.476,61.164,81.641,-20.477,REFUTE
20,0.778,5.000,0.432,61.164,78.979,-17.815,REFUTE
20,0.889,0.000,2.963,61.502,109.599,-48.096,REFUTE
20,0.889,0.556,1.905,61.502,105.937,-44.434,REFUTE
20,0.889,1.111,1.404,61.502,102.472,-40.970,REFUTE
20,0.889,1.667,1.111,61.502,99.188,-37.686,REFUTE
20,0.889,2.222,0.920,61.502,96.069,-34.567,REFUTE
20,0.889,2.778,0.784,61.502,93.100,-31.598,REFUTE
20,0.889,3.333,0.684,61.502,90.271,-28.768,REFUTE
20,0.889,3.889,0.606,61.502,87.569,-26.066,REFUTE
20,0.889,4.444,0.544,61.502,84.985,-23.483,REFUTE
20,0.889,5.000,0.494,61.502,82.511,-21.009,REFUTE
20,1.000,0.000,3.333,61.769,110.326,-48.557,REFUTE
20,1.000,0.556,2.143,61.769,107.012,-45.243,REFUTE
20,1.000,1.111,1.579,61.769,103.861,-42.092,REFUTE
20,1.000,1.667,1.250,61.769,100.860,-39.091,REFUTE
20,1.000,2.222,1.034,61.769,97.998,-36.229,REFUTE
20,1.000,2.778,0.882,61.769,95.263,-33.494,REFUTE
20,1.000,3.333,0.769,61.769,92.646,-30.877,REFUTE
20,1.000,3.889,0.682,61.769,90.139,-28.370,REFUTE
20,1.000,4.444,0.612,61.769,87.734,-25.965,REFUTE
20,1.000,5.000,0.556,61.769,85.423,-23.654,REFUTE
