tmax,pay_rate,born_ai_mult,ratio,y0,y1,gap,verdict
50,0.000,0.000,0.000,20.670,35.939,-15.269,REFUTE
50,0.000,0.556,0.000,20.670,1.847,18.823,CONFIRM
50,0.000,1.111,0.000,20.670,-16.218,36.888,CONFIRM
50,0.000,1.667,0.000,20.670,-27.634,48.303,CONFIRM
50,0.000,2.222,0.000,20.670,-35.745,56.415,CONFIRM
50,0.000,2.778,0.000,20.670,-41.858,62.527,CONFIRM
50,0.000,3.333,0.000,20.670,-46.699,67.368,CONFIRM
50,0.000,3.889,0.000,20.670,-50.583,71.253,CONFIRM
50,0.000,4.444,0.000,20.670,-53.795,74.464,CONFIRM
50,0.000,5.000,0.000,20.670,-56.605,77.275,CONFIRM
50,0.111,0.000,0.370,169.324,157.543,11.781,CONFIRM
50,0.111,0.556,0.238,169.324,149.670,19.654,CONFIRM
50,0.111,1.111,0.175,169.324,139.209,30.115,CONFIRM
50,0.111,1.667,0.139,169.324,98.511,70.813,CONFIRM
50,0.111,2.222,0.115,169.324,70.846,98.478,CONFIRM
50,0.111,2.778,0.098,169.324,50.700,118.624,CONFIRM
50,0.111,3.333,0.085,169.324,35.304,134.019,CONFIRM
50,0.111,3.889,0.076,169.324,23.113,146.211,CONFIRM
50,0.111,4.444,0.068,169.324,13.190,156.134,CONFIRM
50,0.111,5.000,0.062,169.324,4.935,164.389,CONFIRM
50,0.222,0.000,0.741,183.483,176.422,7.061,CONFIRM
50,0.222,0.556,0.476,183.483,169.030,14.453,CONFIRM
50,0.222,1.111,0.351,183.483,163.654,19.829,CONFIRM
50,0.222,1.667,0.278,183.483,159.571,23.911,CONFIRM
50,0.222,2.222,0.230,183.483,156.367,27.116,CONFIRM
50,0.222,2.778,0.196,183.483,153.782,29.701,CONFIRM
50,0.222,3.333,0.171,183.483,151.650,31.832,CONFIRM
50,0.222,3.889,0.152,183.483,149.866,33.617,CONFIRM
50,0.222,4.444,0.136,183.483,148.347,35.136,CONFIRM
50,0.222,5.000,0.123,183.483,147.039,36.443,CONFIRM
50,0.333,0.000,1.111,188.847,183.857,4.991,CONFIRM
50,0.333,0.556,0.714,188.847,177.740,11.108,CONFIRM
50,0.333,1.111,0.526,188.847,172.871,15.977,CONFIRM
50,0.333,1.667,0.417,188.847,168.902,19.945,CONFIRM
50,0.333,2.222,0.345,188.847,165.605,23.242,CONFIRM
50,0.333,2.778,0.294,188.847,162.826,26.022,CONFIRM
50,0.333,3.333,0.256,188.847,160.447,28.401,CONFIRM
50,0.333,3.889,0.227,188.847,158.386,30.461,CONFIRM
50,0.333,4.444,0.204,188.847,156.584,32.264,CONFIRM
50,0.333,5.000,0.185,188.847,154.997,33.850,CONFIRM
50,0.444,0.000,1.481,191.610,187.755,3.855,CONFIRM
50,0.444,0.556,0.952,191.610,182.643,8.967,CONFIRM
50,0.444,1.111,0.702,191.610,178.370,13.240,CONFIRM
50,0.444,1.667,0.556,191.610,174.742,16.868,CONFIRM
50,0.444,2.222,0.460,191.610,171.620,19.990,CONFIRM
50,0.444,2.778,0.392,191.610,168.904,22.706,CONFIRM
50,0.444,3.333,0.342,191.610,166.521,25.089,CONFIRM
50,0.444,3.889,0.303,191.610,164.416,27.194,CONFIRM
50,0.444,4.444,0.272,191.610,162.540,29.070,CONFIRM
50,0.444,5.000,0.247,191.610,160.857,30.753,CONFIRM
50,0.556,0.000,1.852,193.281,190.141,3.141,CONFIRM
50,0.556,0.556,1.190,193.281,185.786,7.495,CONFIRM
50,0.556,1.111,0.877,193.281,182.021,11.260,CONFIRM
50,0.556,1.667,0.694,193.281,178.734,14.547,CONFIRM
50,0.556,2.222,0.575,193.281,175.843,17.438,CONFIRM
50,0.556,2.778,0.490,193.281,173.272,20.010,CONFIRM
50,0.556,3.333,0.427,193.281,170.980,22.301,CONFIRM
50,0.556,3.889,0.379,193.281,168.918,24.364,CONFIRM
50,0.556,4.444,0.340,193.281,167.050,26.232,CONFIRM
50,0.556,5.000,0.309,193.281,165.359,27.922,CONFIRM
50,0.667,0.000,2.222,194.401,191.751,2.650,CONFIRM
50,0.667,0.556,1.429,194.401,187.966,6.435,CONFIRM
50,0.667,1.111,1.053,194.401,184.617,9.784,CONFIRM
50,0.667,1.667,0.833,194.401,181.641,12.761,CONFIRM
50,0.667,2.222,0.690,194.401,178.970,15.431,CONFIRM
50,0.667,2.778,0.588,194.401,176.567,17.834,CONFIRM
50,0.667,3.333,0.513,194.401,174.387,20.015,CONFIRM
50,0.667,3.889,0.455,194.401,172.406,21.995,CONFIRM
50,0.667,4.444,0.408,194.401,170.590,23.811,CONFIRM
50,0.667,5.000,0.370,194.401,168.929,25.472,CONFIRM
50,0.778,0.000,2.593,195.202,192.911,2.291,CONFIRM
50,0.778,0.556,1.667,195.202,189.566,5.636,CONFIRM
50,0.778,1.111,1.228,195.202,186.562,8.640,CONFIRM
50,0.778,1.667,0.972,195.202,183.844,11.358,CONFIRM
50,0.778,2.222,0.805,195.202,181.385,13.817,CONFIRM
50,0.778,2.778,0.686,195.202,179.135,16.067,CONFIRM
50,0.778,3.333,0.598,195.202,177.080,18.122,CONFIRM
50,0.778,3.889,0.530,195.202,175.189,20.013,CONFIRM
50,0.778,4.444,0.476,195.202,173.443,21.759,CONFIRM
50,0.778,5.000,0.432,195.202,171.831,23.371,CONFIRM
50,0.889,0.000,2.963,195.803,193.786,2.017,CONFIRM
50,0.889,0.556,1.905,195.803,190.790,5.012,CONFIRM
50,0.889,1.111,1.404,195.803,188.069,7.733,CONFIRM
50,0.889,1.667,1.111,195.803,185.580,10.222,CONFIRM
50,0.889,2.222,0.920,195.803,183.298,12.504,CONFIRM
50,0.889,2.778,0.784,195.803,181.200,14.602,CONFIRM
50,0.889,3.333,0.684,195.803,179.257,16.545,CONFIRM
50,0.889,3.889,0.606,195.803,177.462,18.341,CONFIRM
50,0.889,4.444,0.544,195.803,175.792,20.010,CONFIRM
50,0.889,5.000,0.494,195.803,174.232,21.571,CONFIRM
50,1.000,0.000,3.333,196.270,194.468,1.802,CONFIRM
50,1.000,0.556,2.143,196.270,191.758,4.512,CONFIRM
50,1.000,1.111,1.579,196.270,189.272,6.997,CONFIRM
50,1.000,1.667,1.250,196.270,186.979,9.290,CONFIRM
50,1.000,2.222,1.034,196.270,184.855,11.414,CONFIRM
50,1.000,2.778,0.882,196.270,182.890,13.380,CONFIRM
50,1.000,3.333,0.769,196.270,181.061,15.209,CONFIRM
50,1.000,3.889,0.682,196.270,179.351,16.919,CONFIRM
50,1.000,4.444,0.612,196.270,177.757,18.513,CONFIRM
50,1.000,5.000,0.556,196.270,176.263,20.007,CONFIRM
